Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
perkPhysicianRank3LongDesc,progression,perk Int,,,"Medical healing items heal 55% more health over time. Gain 80% more XP using bandages, first aid bandages, first aid kits and splints. Can craft first aid kits, steroids and vitamins.",,"Heilmittel stellen 55 % mehr Gesundheit über Zeit wieder her. Erhalte 80 % mehr EP, wenn du Verbände, Erste-Hilfe-Verbände, Verbandskästen oder Schienen verwendest. Du kannst Verbandskästen, Steroide und Vitamine fertigen.","Los artículos de curación curan un 55 % más de salud con el tiempo. Obtienes un 80 % más de EXP usando vendajes, vendajes de primeros auxilios, botiquines de primeros auxilios y tablillas. Puedes fabricar botiquines de primeros auxilios, esteroides y vitaminas.","Les objets de guérison médicale 55 % de santé supplémentaire sur la durée. Utiliser des bandages, des bandages médicaux, des trousses de premiers soins et des attelles vous octroie 80 % d'EXP supplémentaire. Vous pouvez fabriquer des trousses de premiers soins, des stéroïdes et des vitamines.","Gli oggetti di cura guariscono il 55% di salute in più. Ottieni l'80% di PE in più usando bende, bende di pronto soccorso, cassette del pronto soccorso e stecche. Puoi creare cassette di pronto soccorso, steroidi e vitamine.",医療回復アイテムの回復量が時間の経過とともに55%増加します。包帯、救急包帯、応急処置キット、副木使用時の経験値が80%増加。応急処置キット、ステロイド、ビタミンを作ります。,"치료 아이템 사용 시 지속 회복이 55% 증가합니다. 붕대, 응급 치료 붕대, 응급 치료 키트와 부목 사용 시 80% 더 많은 XP를 획득합니다. 응급 처치 키트, 스테로이드 및 비타민을 만들 수 있습니다.","Medyczne przedmioty leczące przywracają stopniowo 55% więcej zdrowia. Zdobywaj 80% więcej PD za używanie bandaży, bandaży pierwszej pomocy, apteczek pierwszej pomocy i szyn. Możesz wytwarzać apteczki pierwszej pomocy, steroidy i witaminy.","Os itens medicinais de cura restauram +55% de vida ao longo do tempo. Ganhe +80% de EXP usando curativos, curativos de primeiros socorros, kits de primeiros socorros e talas. Pode fabricar kit de primeiros socorros, esteroides e vitaminas.","Медицинские предметы восстанавливают на 55% больше здоровья за то же время. Получайте на 80% больше опыта, используя бинты, бинты для оказания первой помощи, аптечки и шины. Вы можете создавать аптечки, стероиды и витамины.","Medikal iyileştirme öğeleri %55 daha fazla sağlık verir. Bandajlar, ilk yardım bandajları, ilk yardım kitleri ve ateller kullandığında %80 daha fazla DP kazan. İlk yardım kitleri, steroitler ve vitaminler üretebilir.",医疗物品治疗的生命值增加 55%。使用绷带、急救绷带、急救包及夹板时，获得的经验值增加 80%。可以制作急救箱，类固醇和维生素。,療傷物品隨時間治療額外55%的生命值。使用繃帶、急救繃帶、急救箱和夾板增加80%的經驗值。可以制作急救箱，类固醇和维生素。,"Los artículos de curación curan un 55 % más de salud con el tiempo. Obtienes un 80 % más de EXP usando vendajes, vendajes de primeros auxilios, botiquines de primeros auxilios y tablillas. Puedes fabricar botiquines de primeros auxilios, esteroides y vitaminas."
meleeWpnSledgeT4TreatedSteelSledgehammer,items,Melee,,,Treated Steel Sledgehammer,,Behandelter Stahlvorschlaghammer,Mazo de acero,Masse en acier,Martello d'acciaio,鉄鋼製スレッジハンマー,강철 슬레지해머,Stalowy młot rozbiórkowy,Marreta de Aço,Стальная кувалда,Çelik Balyoz,钢质大锤,鋼鎚,Mazo de acero
meleeWpnKnucklesT4TreatedSteelKnuckles,items,Melee,,,Treated Steel Knuckles,,Behandelter Stahlvorschlaghammer,Mazo de acero,Masse en acier,Martello d'acciaio,鉄鋼製スレッジハンマー,강철 슬레지해머,Stalowy młot rozbiórkowy,Marreta de Aço,Стальная кувалда,Çelik Balyoz,钢质大锤,鋼鎚,Mazo de acero
meleeWpnSpearT4TreatedSteelSpear,items,Melee,,,Treated Steel Spear,,Behandelter Stahlvorschlaghammer,Mazo de acero,Masse en acier,Martello d'acciaio,鉄鋼製スレッジハンマー,강철 슬레지해머,Stalowy młot rozbiórkowy,Marreta de Aço,Стальная кувалда,Çelik Balyoz,钢质大锤,鋼鎚,Mazo de acero
meleeWpnClubT4TreatedSteelClub,items,Melee,,,Treated Steel Club,,Behandelter Stahlvorschlaghammer,Mazo de acero,Masse en acier,Martello d'acciaio,鉄鋼製スレッジハンマー,강철 슬레지해머,Stalowy młot rozbiórkowy,Marreta de Aço,Стальная кувалда,Çelik Balyoz,钢质大锤,鋼鎚,Mazo de acero
meleeWpnBladeT4TreatedMachete,items,Melee,,,Treated Steel Machete,,Behandelter Stahlvorschlaghammer,Mazo de acero,Masse en acier,Martello d'acciaio,鉄鋼製スレッジハンマー,강철 슬레지해머,Stalowy młot rozbiórkowy,Marreta de Aço,Стальная кувалда,Çelik Balyoz,钢质大锤,鋼鎚,Mazo de acero
meleeWpnSledgeT4TreatedSteelSledgehammerParts,items,Melee,,,Treated Steel Sledgehammer Parts,,Behandelter Stahlvorschlaghammerteile,Partes de mazo de acero,Pièces de masse en acier,Parti per martello d'acciaio,鉄鋼製スレッジハンマーパーツ,강철 슬레지해머 부품,Części stalowego młota rozbiórkowego,Peças de marreta de aço,Части стальной кувалды,Çelik Balyoz Parçaları,钢质大锤零件,鋼鎚部件,Partes de mazo de acero
meleeWpnKnucklesT4TreatedSteelKnucklesParts,items,Melee,,,Treated Steel Knuckles Parts,,Behandelter Stahlvorschlaghammerteile,Partes de mazo de acero,Pièces de masse en acier,Parti per martello d'acciaio,鉄鋼製スレッジハンマーパーツ,강철 슬레지해머 부품,Części stalowego młota rozbiórkowego,Peças de marreta de aço,Части стальной кувалды,Çelik Balyoz Parçaları,钢质大锤零件,鋼鎚部件,Partes de mazo de acero
meleeWpnSpearT4TreatedSteelSpearParts,items,Melee,,,Treated Steel Spear Parts,,Behandelter Stahlvorschlaghammerteile,Partes de mazo de acero,Pièces de masse en acier,Parti per martello d'acciaio,鉄鋼製スレッジハンマーパーツ,강철 슬레지해머 부품,Części stalowego młota rozbiórkowego,Peças de marreta de aço,Части стальной кувалды,Çelik Balyoz Parçaları,钢质大锤零件,鋼鎚部件,Partes de mazo de acero
meleeWpnClubT4TreatedSteelClubParts,items,Melee,,,Treated Steel Club Parts,,Behandelter Stahlvorschlaghammerteile,Partes de mazo de acero,Pièces de masse en acier,Parti per martello d'acciaio,鉄鋼製スレッジハンマーパーツ,강철 슬레지해머 부품,Części stalowego młota rozbiórkowego,Peças de marreta de aço,Части стальной кувалды,Çelik Balyoz Parçaları,钢质大锤零件,鋼鎚部件,Partes de mazo de acero
